"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-A_Gain","BB515-A_Gain","PerCP-Cy5.5-A_Gain","APC-A_Gain","APC-R700-A_Gain","APC-Cy7-A_Gain","BYG584-A_Gain","PE-CF594-A_Gain","PE-Cy5-A_Gain","PE-Cy7-A_Gain","BV 421-A_Gain","BV 510-A_Gain","BV 605-A_Gain","BV 650-A_Gain","BV 711-A_Gain","BV786-A_Gain","Time_Gain","Blue_LaserDelay","Red_LaserDelay","Yel Gr_LaserDelay","Violet_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor","Yel Gr_AreaScalingFactor","Violet_AreaScalingFactor","FSC-A-% rCV","SSC-A-% rCV","BB515-A-% rCV","PerCP-Cy5.5-A-% rCV","APC-A-% rCV","APC-R700-A-% rCV","APC-Cy7-A-% rCV","BYG584-A-% rCV","PE-CF594-A-% rCV","PE-Cy5-A-% rCV","PE-Cy7-A-% rCV","BV 421-A-% rCV","BV 510-A-% rCV","BV 605-A-% rCV","BV 650-A-% rCV","BV 711-A-% rCV","BV786-A-% rCV","FSC-A","SSC-A","BB515-A","PerCP-Cy5.5-A","APC-A","APC-R700-A","APC-Cy7-A","BYG584-A","PE-CF594-A","PE-Cy5-A","PE-Cy7-A","BV 421-A","BV 510-A","BV 605-A","BV 650-A","BV 711-A","BV786-A"
"27-AUG-2026",2026-08-27 08:47:33,2026-08-27,8H 47M 33S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,15.97,40.79,-23.66,1.03,0.93,1.02,1.01,2.25,4.46,2.71,3.99,5.5,5.31,5.48,3.01,2.21,1.57,3.79,4.63,5.57,4.69,3.48,2.75,2.79,86252.71484375,138623.5,15359.0952148438,12469.4272460938,7592.65844726562,9470.64111328125,6681.81762695312,9911.19091796875,13781.439453125,13467.5034179688,16723.345703125,14656.8056640625,13937.0073242188,11889.419921875,12266.1645507812,11972.134765625,18072.2568359375
"26-AUG-2026",2026-08-26 08:53:27,2026-08-26,8H 53M 27S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,15.84,40.65,-23.75,1,0.92,1.02,1,4.94,5.34,3.82,5.2,6.37,6,6.2,3.73,3.17,2.3,4.62,5.7,6.57,5.45,4.16,3.47,3.03,84807.9765625,133030.046875,15024.6669921875,11499.892578125,7164.140625,9463.8955078125,6522.41455078125,11456.388671875,15703.296875,12716.7421875,16101.7392578125,14470.7412109375,14385.6669921875,12613.25390625,11637.2099609375,11752.9228515625,17547.064453125
"25-AUG-2026",2026-08-25 08:46:38,2026-08-25,8H 46M 38S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,15.88,40.54,-23.52,1.01,0.92,1.03,1.02,2.32,3.77,2.45,3.81,4.6,4.46,4.75,3,2.46,1.39,3.26,4.62,5.41,4.64,3.52,2.77,2.35,87190.703125,138916.9375,15505.3466796875,11979.3369140625,7073.40283203125,9196.6181640625,6405.111328125,11391.4189453125,15737.265625,13064.7333984375,16240.4736328125,14511.6416015625,14439.26953125,12592.8818359375,11729.0263671875,11790.9560546875,17743.68359375
"24-AUG-2026",2026-08-24 09:41:22,2026-08-24,9H 41M 22S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,15.88,40.54,-23.52,1.01,0.92,1.03,1.02,2.63,3.95,2.56,3.93,5.05,4.91,4.9,2.88,2.31,1.51,3.56,4.4,5.19,4.33,3.22,2.62,2.19,88657.25,138384.859375,15407.3720703125,11902.18359375,7212.7890625,9536.6416015625,6587.36669921875,11296.740234375,15602.6640625,12883.083984375,16268.76171875,14825.396484375,14591.0712890625,12718.326171875,11772.0888671875,11881.8359375,18030.21875
"21-AUG-2026",2026-08-21 08:21:42,2026-08-21,8H 21M 42S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,15.93,40.72,-23.68,1.01,0.94,1.03,1.01,3.04,4.37,2.95,4.2,5.6,5.14,5,2.98,2.4,1.54,3.8,4.29,5.22,4.4,3.2,2.46,2.23,85900.2421875,136741.71875,15143.255859375,11928.8515625,7611.353515625,9815.7666015625,6801.71240234375,10771.0625,14906.0263671875,13109.1640625,16538.619140625,14564.1787109375,14250.0048828125,12358.0419921875,11936.1962890625,11920.5087890625,18046.693359375
"20-AUG-2026",2026-08-20 08:23:24,2026-08-20,8H 23M 24S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,15.66,40.69,-24.4,1.01,0.91,1.03,1.01,2.57,4.04,2.64,3.94,5.16,4.89,5.06,3.36,2.75,1.77,3.52,4.44,5.34,4.39,3.28,2.52,2.48,87330.03125,139150.734375,15481.53125,12630.57421875,7590.921875,9514.8974609375,6725.97802734375,10703.87109375,14835.3447265625,13612.736328125,16875.447265625,14651.6708984375,14276.458984375,12269.8369140625,12358.1142578125,12155.60546875,18366.927734375
"19-AUG-2026",2026-08-19 09:29:37,2026-08-19,9H 29M 37S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,16.34,41.51,-23.99,1,0.9,1.01,1.01,2.52,4.74,2.91,4.63,6.2,5.85,5.83,3.05,2.41,1.59,4.5,4.39,5.38,4.14,2.77,2.05,2.58,80833,130586.328125,14313.3017578125,11472.4990234375,7670.86572265625,9769.9091796875,6820.19287109375,10289.2421875,14365.4501953125,13130.857421875,16480.955078125,15081.0048828125,14432.4052734375,12448.458984375,12279.5341796875,12101.9833984375,18451.640625
"18-AUG-2026",2026-08-18 16:22:49,2026-08-18,16H 22M 49S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,16.34,41.51,-23.99,1,0.9,1.01,1.01,2.7,4.4,2.7,4.09,5.19,5.23,5.69,3.18,2.46,1.41,3.9,3.62,4.76,3.32,1.74,1.65,2.6,87703.421875,138904.71875,15187.259765625,12346.951171875,8607.572265625,10743.0244140625,7534.95361328125,10117.251953125,14134.4169921875,13350.908203125,16696.5859375,15349.3291015625,14504.140625,12548.4296875,12754.076171875,12404.890625,18895.376953125
"18-AUG-2026",2026-08-18 08:11:12,2026-08-18,8H 11M 12S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,20.76,42.08,-23.08,1.02,0.9,1.01,1.02,4.26,4.61,3,4.99,4.68,8.7,10.63,2.37,2.14,1.61,5.34,3.29,3.98,3.22,2.74,3.38,5.86,82649.59375,131784.71875,14663.443359375,10635.451171875,10012.6953125,12211.9423828125,8208.4140625,10723.3525390625,14759.986328125,12763.4892578125,14780.87890625,15658.2890625,15380.8984375,12812.5185546875,12164.05078125,11791.6767578125,17074.404296875
"17-AUG-2026",2026-08-17 10:30:17,2026-08-17,10H 30M 17S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,20.07,40.89,-22.79,1.02,0.92,1.04,1.02,1.78,2.67,1.62,1.89,1.67,2.18,2.77,1.74,1.56,1.26,1.92,1.03,1.25,1.28,1,1.19,1.66,88892.2890625,141062.546875,15508.287109375,11578.6650390625,10844.5473632812,13112.80078125,8819.89697265625,11759.2563476562,16065.4633789062,13995.71484375,16183.6391601562,16821.966796875,16501.65625,13754.1118164062,13187.232421875,12774.2075195312,18391.2158203125
"14-AUG-2026",2026-08-14 08:27:26,2026-08-14,8H 27M 26S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,20.43,41.67,-23.15,1.01,0.9,1.02,1.02,2.39,3,2.03,2.68,2.61,4.55,5.4,2.13,1.72,1.47,2.87,1.87,2.15,1.93,1.61,1.69,3.03,80360.078125,127845.3984375,13956.65234375,10237.0458984375,10048.595703125,12081.6220703125,8119.90283203125,10516.84765625,14447.4072265625,12846.1474609375,14709.9619140625,15360.51953125,15034.16015625,12493.6494140625,12135.1728515625,11687.8349609375,16875.794921875
"13-AUG-2026",2026-08-13 09:10:00,2026-08-13,9H 10M 0S,"Unknown","FACSCelesta","R66093300016","Administrator",526,205,337,336,275,225,253,366,360,286,289,145,194,300,267,242,295,0,20.41,41.6,-23.18,1,0.91,1.03,1,1.73,2.77,1.59,2.71,2.46,4.43,5.42,2.18,1.85,1.65,3.48,1.25,1.62,1.24,1.19,1.57,3.15,87322.9296875,135477.5390625,14838.3896484375,11149.1513671875,10281.8017578125,12236.29296875,8291.20361328125,10533.2021484375,14491.169921875,13343.1704101562,15343.4609375,16038.0244140625,15528.1518554688,12886.4052734375,12758.5141601562,12119.9716796875,17547.2412109375
