"Date","Instrument","Detector","GainValue","Gain","rCVValue","rCV"
2026-08-26,"Aurora-2","FSC",337,"Green",1.68,"Green"
2026-08-26,"Aurora-2","SSC",250,"Green",1.22,"Green"
2026-08-26,"Aurora-2","SSC-B",227,"Green",3.84,"Green"
2026-08-26,"Aurora-2","UV1",1594,"Green",2.24,"Green"
2026-08-26,"Aurora-2","UV2",513,"Green",0.95,"Green"
2026-08-26,"Aurora-2","UV3",361,"Green",1.4,"Green"
2026-08-26,"Aurora-2","UV4",288,"Green",1.35,"Green"
2026-08-26,"Aurora-2","UV5",395,"Green",1.41,"Green"
2026-08-26,"Aurora-2","UV6",449,"Green",1.48,"Green"
2026-08-26,"Aurora-2","UV7",661,"Green",1.6,"Green"
2026-08-26,"Aurora-2","UV8",514,"Green",1.5,"Green"
2026-08-26,"Aurora-2","UV9",684,"Green",1.44,"Green"
2026-08-26,"Aurora-2","UV10",446,"Green",1.29,"Green"
2026-08-26,"Aurora-2","UV11",559,"Green",1.22,"Green"
2026-08-26,"Aurora-2","UV12",517,"Green",1.51,"Green"
2026-08-26,"Aurora-2","UV13",719,"Green",1.83,"Green"
2026-08-26,"Aurora-2","UV14",1170,"Green",2.05,"Green"
2026-08-26,"Aurora-2","UV15",907,"Green",2.23,"Green"
2026-08-26,"Aurora-2","UV16",1345,"Green",2.68,"Green"
2026-08-26,"Aurora-2","V1",214,"Green",1.15,"Green"
2026-08-26,"Aurora-2","V2",353,"Green",1.09,"Green"
2026-08-26,"Aurora-2","V3",286,"Green",1.17,"Green"
2026-08-26,"Aurora-2","V4",208,"Green",1.14,"Green"
2026-08-26,"Aurora-2","V5",232,"Green",1.11,"Green"
2026-08-26,"Aurora-2","V6",245,"Green",1.09,"Green"
2026-08-26,"Aurora-2","V7",328,"Green",1.02,"Green"
2026-08-26,"Aurora-2","V8",405,"Green",0.98,"Green"
2026-08-26,"Aurora-2","V9",396,"Green",0.89,"Green"
2026-08-26,"Aurora-2","V10",400,"Green",0.89,"Green"
2026-08-26,"Aurora-2","V11",306,"Green",0.91,"Green"
2026-08-26,"Aurora-2","V12",258,"Green",1.06,"Green"
2026-08-26,"Aurora-2","V13",246,"Green",1.28,"Green"
2026-08-26,"Aurora-2","V14",365,"Green",1.4,"Green"
2026-08-26,"Aurora-2","V15",417,"Green",1.5,"Green"
2026-08-26,"Aurora-2","V16",389,"Green",1.75,"Green"
2026-08-26,"Aurora-2","B1",619,"Green",1.89,"Green"
2026-08-26,"Aurora-2","B2",431,"Green",1.85,"Green"
2026-08-26,"Aurora-2","B3",389,"Green",1.7,"Green"
2026-08-26,"Aurora-2","B4",376,"Green",1.64,"Green"
2026-08-26,"Aurora-2","B5",285,"Green",1.62,"Green"
2026-08-26,"Aurora-2","B6",276,"Green",1.64,"Green"
2026-08-26,"Aurora-2","B7",620,"Green",1.59,"Green"
2026-08-26,"Aurora-2","B8",363,"Green",1.61,"Green"
2026-08-26,"Aurora-2","B9",564,"Green",1.74,"Green"
2026-08-26,"Aurora-2","B10",514,"Green",1.78,"Green"
2026-08-26,"Aurora-2","B11",413,"Green",2.05,"Green"
2026-08-26,"Aurora-2","B12",353,"Green",1.94,"Green"
2026-08-26,"Aurora-2","B13",507,"Green",2.19,"Green"
