"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","SSC-A_Gain","B510-A_Gain","B530-A_Gain","B576-A_Gain","B602-A_Gain","B660-A_Gain","B675-A_Gain","B710-A_Gain","B750-A_Gain","B810-A_Gain","R660-A_Gain","R675-A_Gain","R680-A_Gain","R710-A_Gain","R730-A_Gain","R780-A_Gain","V415-A_Gain","V450-A_Gain","V470-A_Gain","V510-A_Gain","V530-A_Gain","V576-A_Gain","V595-A_Gain","V610-A_Gain","V660-A_Gain","V680-A_Gain","V710-A_Gain","V750-A_Gain","V785-A_Gain","V845-A_Gain","UV379-A_Gain","UV446-A_Gain","UV515-A_Gain","UV530-A_Gain","UV585-A_Gain","UV610-A_Gain","UV660-A_Gain","UV695-A_Gain","UV736-A_Gain","UV809-A_Gain","YG585-A_Gain","YG602-A_Gain","YG660-A_Gain","YG670-A_Gain","YG695-A_Gain","YG730-A_Gain","YG750-A_Gain","YG780-A_Gain","YG825-A_Gain","Time_Gain","Blue_LaserDelay","Red_LaserDelay","Violet_LaserDelay","UV_LaserDelay","Yellgrn_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor","Violet_AreaScalingFactor","UV_AreaScalingFactor","Yellgrn_AreaScalingFactor","FSC-A-% rCV","SSC-A-% rCV","B510-A-% rCV","B530-A-% rCV","B576-A-% rCV","B602-A-% rCV","B660-A-% rCV","B675-A-% rCV","B710-A-% rCV","B750-A-% rCV","B810-A-% rCV","R660-A-% rCV","R675-A-% rCV","R680-A-% rCV","R710-A-% rCV","R730-A-% rCV","R780-A-% rCV","V415-A-% rCV","V450-A-% rCV","V470-A-% rCV","V510-A-% rCV","V530-A-% rCV","V576-A-% rCV","V595-A-% rCV","V610-A-% rCV","V660-A-% rCV","V680-A-% rCV","V710-A-% rCV","V750-A-% rCV","V785-A-% rCV","V845-A-% rCV","UV379-A-% rCV","UV446-A-% rCV","UV515-A-% rCV","UV530-A-% rCV","UV585-A-% rCV","UV610-A-% rCV","UV660-A-% rCV","UV695-A-% rCV","UV736-A-% rCV","UV809-A-% rCV","YG585-A-% rCV","YG602-A-% rCV","YG660-A-% rCV","YG670-A-% rCV","YG695-A-% rCV","YG730-A-% rCV","YG750-A-% rCV","YG780-A-% rCV","YG825-A-% rCV","FSC-A","SSC-A","B510-A","B530-A","B576-A","B602-A","B660-A","B675-A","B710-A","B750-A","B810-A","R660-A","R675-A","R680-A","R710-A","R730-A","R780-A","V415-A","V450-A","V470-A","V510-A","V530-A","V576-A","V595-A","V610-A","V660-A","V680-A","V710-A","V750-A","V785-A","V845-A","UV379-A","UV446-A","UV515-A","UV530-A","UV585-A","UV610-A","UV660-A","UV695-A","UV736-A","UV809-A","YG585-A","YG602-A","YG660-A","YG670-A","YG695-A","YG730-A","YG750-A","YG780-A","YG825-A","FSC-H_Gain","SSC-H_Gain","FSC-H-% rCV","SSC-H-% rCV","FSC-H","SSC-H"
"21-SEP-2026",2026-09-21 09:22:53,2026-09-21,9H 22M 53S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",510,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-43.3,-81.42,34.89,-116.09,0.63,0.45,0.46,0.62,0.58,1.54,6.01,2.24,2.38,2.69,2.56,2.92,2.88,2.76,2.81,2.99,2.46,1.82,1.7,1.7,1.85,2.05,11.28,7.37,11.28,11.31,11.13,10.78,10.64,10.61,10.34,9.22,8.35,8.4,8.45,8.69,6.66,5.28,5.92,5.85,5.52,5.26,4.96,4.73,4.69,4.71,2.68,2.55,2.48,2.43,2.34,2.42,2.58,2.59,2.78,106113.61328125,103531.16015625,10435.7841796875,10586.8486328125,10402.1669921875,10544.0932617188,10520.1743164062,10417.9340820312,10519.8383789062,10513.5673828125,10594.5302734375,10770.5190429688,10708.6772460938,10649.470703125,10741.5966796875,10397.1611328125,10227.8256835938,10271.5654296875,9854.85791015625,10186.0063476562,9911.9296875,9860.76123046875,9990.99658203125,9941.6103515625,10186.8232421875,9876.7705078125,10155.2133789062,10392.380859375,10316.830078125,10237.4526367188,10129.4897460938,9271.2607421875,8840.7783203125,9040.05078125,9052.7021484375,8889.5107421875,9145.4951171875,8974.7431640625,9348.162109375,9462.57666015625,9401.8974609375,11012.3813476562,10611.052734375,10735.0966796875,10885.203125,10597.9189453125,11397.3173828125,10935.947265625,11137.8481445312,10809.490234375,NA,NA,NA,NA,NA,NA
"18-SEP-2026",2026-09-18 08:13:14,2026-09-18,8H 13M 14S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",510,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-42.84,-80.98,34.63,-117.12,0.61,0.43,0.55,0.75,0.51,2.41,4.91,2.25,2.25,2.52,2.34,2.68,2.61,2.52,2.62,2.83,2.6,1.97,1.81,1.84,1.98,2.25,3.94,3.41,4.13,3.94,3.83,3.77,3.85,3.86,3.48,3.35,3.5,3.75,4,4.43,6.73,4.75,5.13,5.08,4.87,4.8,4.61,4.29,4.22,4.33,1.93,1.72,1.35,1.28,1.19,1.3,1.37,1.38,1.5,100487.81640625,97976.1484375,9839.57861328125,10112.6435546875,9962.5791015625,10059.3408203125,10169.9794921875,9918.21044921875,10098.0053710938,10116.1342773438,10232.259765625,10489.966796875,10255.4047851562,10235.896484375,10231.44921875,9747.48291015625,9642.6943359375,11727.9428710938,11352.0263671875,11195.7431640625,11167.5483398438,11110.162109375,11329.1108398438,11418.7392578125,11575.51171875,11328.4462890625,11783.9404296875,12506.1518554688,12263.2900390625,12081.8232421875,11928.9814453125,10725.7114257812,10264.8764648438,10353.6357421875,10316.7880859375,10100.3686523438,10523.15625,10501.16015625,11212.2216796875,11402.1123046875,11294.556640625,9807.20458984375,9363.6962890625,9543.4970703125,9746.6669921875,9369.2978515625,10213.455078125,9784.197265625,10032.294921875,9662.35986328125,NA,NA,NA,NA,NA,NA
"17-SEP-2026",2026-09-17 08:50:07,2026-09-17,8H 50M 7S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-42.11,-81.17,34.97,-116.89,0.62,0.44,0.51,0.75,0.56,1.2,4.36,1.79,1.85,2.13,2,2.35,2.3,2.3,2.35,2.47,2.09,1.68,1.59,1.7,1.81,2.02,5.92,4.42,6.13,5.94,5.72,5.41,5.39,5.42,5.17,4.98,4.99,5.05,5.14,5.28,5.42,4.38,5.17,5.16,4.68,4.45,4.03,3.76,3.72,3.72,1.9,1.78,1.52,1.43,1.4,1.45,1.51,1.52,1.65,37288.392578125,99731.125,9872.0986328125,10077.41015625,9937.38427734375,10031.0361328125,10061.5185546875,9926.12158203125,10034.4741210938,10039.6103515625,10081.1577148438,9959.46484375,9893.7060546875,9926.8046875,9826.8056640625,9501.7802734375,9357.826171875,10638.8325195312,10463.1479492188,10485.4306640625,10317.7778320312,10248.2290039062,10422.8618164062,10392.1850585938,10574.77734375,10366.0590820312,10747.3256835938,11145.4350585938,11009.7822265625,10948.8818359375,10815.9677734375,10710.0336914062,10305.3237304688,10362.94140625,10287.1396484375,10144.921875,10475.5102539062,10439.3823242188,10981.0317382812,11080.802734375,10992.8159179688,10609.412109375,10313.5991210938,10498.0268554688,10747.2353515625,10455.7021484375,11259.5673828125,10720.478515625,11088.8959960938,10562.0908203125,441,342,1.2,5.64,36131.294921875,101765.359375
"16-SEP-2026",2026-09-16 08:28:00,2026-09-16,8H 28M 0S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-42.11,-81.17,34.97,-116.89,0.62,0.44,0.51,0.75,0.56,1.39,4.81,1.93,2.01,2.28,2.22,2.57,2.62,2.61,2.66,2.78,2.3,1.86,1.78,1.8,1.88,2.05,5.5,4.1,5.53,5.57,5.44,5.33,5.28,5.29,5.24,4.89,4.75,4.78,4.92,5.01,5.4,4.15,4.84,4.75,4.34,4.17,3.85,3.67,3.61,3.67,1.79,1.66,1.38,1.36,1.25,1.33,1.41,1.42,1.55,37669.697265625,102262.984375,10024.5336914062,10213.3598632812,10072.0771484375,10182.0830078125,10213.6240234375,10036.6791992188,10173.3994140625,10196.6743164062,10277.4326171875,10217.6884765625,10145.1826171875,10151.3178710938,10111.4340820312,9829.0419921875,9643.32421875,10960.1416015625,10575.7749023438,10594.0322265625,10530.84765625,10448.734375,10637.1645507812,10644.2900390625,10865.5546875,10502.962890625,10777.8388671875,11228.8349609375,11115.248046875,11043.8681640625,10969.0244140625,11112.078125,10580.3203125,10717.072265625,10669.3735351562,10496.7607421875,10855.82421875,10713.9262695312,11260.1875,11351.16015625,11304.5805664062,10660.9340820312,10322.1591796875,10429.125,10616.041015625,10302.390625,11145.8530273438,10666.189453125,10984.59765625,10568.5009765625,441,342,1.38,6.16,36339.2421875,103903.34375
"15-SEP-2026",2026-09-15 08:33:00,2026-09-15,8H 33M 0S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-44.58,-81.64,34.67,-117.15,0.62,0.43,0.5,0.68,0.52,1.34,4.53,1.84,1.93,2.2,2.12,2.42,2.46,2.43,2.5,2.64,2.78,2.33,2.26,2.21,2.25,2.32,6.02,4.49,6.04,6.04,5.99,5.98,5.94,5.96,5.75,5.39,5.18,5.14,5.1,5.1,5.57,4.24,4.84,4.8,4.45,4.2,3.86,3.63,3.66,3.69,1.9,1.68,1.38,1.28,1.19,1.27,1.35,1.37,1.52,34780.95703125,99761.27734375,9793.2353515625,9961.98193359375,9760.35107421875,9877.939453125,9944.26123046875,9893.4345703125,10082.9208984375,10178.4682617188,10228.0390625,9639.576171875,9682.97412109375,9654.6025390625,9676.84423828125,9416.31640625,9167.60498046875,10472.2661132812,10302.9057617188,10246.8969726562,10147.5703125,10060.9345703125,10221.8344726562,10136.318359375,10341.4780273438,10211.1162109375,10668.5556640625,11030.0102539062,10982.3022460938,10936.4248046875,10838.2709960938,10863.7490234375,9782.009765625,9917.21484375,9856.46630859375,9632.56640625,9876.240234375,9874.4267578125,10396.8041992188,10546.48828125,10512.0166015625,9735.44873046875,9405.28857421875,9686.515625,9913.87548828125,9681.43212890625,10515.7236328125,10039.783203125,10342.1586914062,9913.3017578125,441,342,1.36,5.84,33781.873046875,102644.94140625
"14-SEP-2026",2026-09-14 08:48:51,2026-09-14,8H 48M 51S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-44.58,-81.64,34.67,-117.15,0.62,0.43,0.5,0.68,0.52,1.7,4.4,1.85,1.89,2.13,1.97,2.29,2.18,2.04,2.2,2.42,2.22,1.84,1.7,1.74,1.87,2.07,6.08,4.53,6.03,6.08,6.09,6.05,6.04,6.03,5.86,5.37,5.07,5.13,5.22,5.42,5.66,4.3,4.74,4.75,4.49,4.29,3.93,3.78,3.75,3.81,2.66,2.6,2.29,2.25,2.18,2.25,2.33,2.37,2.43,37511.125,102445.1328125,10043.115234375,10214.3515625,9976.087890625,10091.8916015625,10156.5151367188,10078.9091796875,10306.7255859375,10425.4599609375,10486.1611328125,10328.056640625,10225.0688476562,10273.0415039062,10278.39453125,9990.19140625,9757.20556640625,10609.4184570312,10245.8129882812,10249.9541015625,10192.9321289062,10080.5405273438,10214.013671875,10129.421875,10316.8061523438,10146.3798828125,10641.3950195312,11068.3510742188,11038.1870117188,10956.2973632812,10845.7368164062,11031.8549804688,9782.05810546875,9971.31640625,9909.38330078125,9654.7587890625,9889.5849609375,9887.9404296875,10484.69921875,10681.548828125,10618.3090820312,9946.7431640625,9522.30517578125,9762.5859375,9979.6484375,9750.9765625,10680.1015625,10219.8369140625,10497.884765625,10085.8505859375,441,342,1.56,5.79,35946.1484375,103036.51953125
"11-SEP-2026",2026-09-11 08:24:00,2026-09-11,8H 24M 0S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-42.83,-80.79,35.7,-117.38,0.59,0.43,0.57,0.78,0.54,2.21,3.3,1.73,1.75,1.99,1.84,2.01,1.91,1.77,1.8,1.98,2.5,2.08,1.98,1.96,2.07,2.24,3.51,2.8,3.57,3.5,3.46,3.29,3.25,3.24,3.2,3.06,3.08,3.21,3.29,3.47,5.31,4.35,4.97,4.96,4.66,4.56,4.19,3.96,3.91,3.86,1.56,1.39,1.18,1.1,1.07,1.12,1.15,1.15,1.2,34380.5390625,91721.24609375,9194.7802734375,9424.1787109375,9501.97265625,9618.1923828125,9523.0517578125,9071.32421875,9110.58837890625,9055.71923828125,9028.99755859375,10024.8935546875,9831.94970703125,9790.7197265625,9731.35546875,9344.19482421875,9102.88232421875,11796.4780273438,11619.0913085938,11542.7583007812,11561.5424804688,11449.3032226562,11813.1137695312,11864.8881835938,12107.0361328125,11463.8525390625,11533.1533203125,11987.3403320312,11751.9790039062,11591.6953125,11448.1284179688,9227.546875,10155.9409179688,10342.224609375,10302.9877929688,10236.9375,10695.103515625,10327.8334960938,10721.390625,10777.486328125,10560.0629882812,10962.2944335938,10490.6040039062,10100.5791015625,10107.0673828125,9644.9765625,10515.90625,9904.94189453125,10217.6806640625,9661.677734375,441,342,2.46,3.25,34257.802734375,103249.49609375
"10-SEP-2026",2026-09-10 11:25:46,2026-09-10,11H 25M 46S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-43.16,-81.08,35.05,-117.51,0.6,0.43,0.57,0.78,0.52,2.08,7.07,3.02,3.23,3.66,3.46,3.86,3.9,3.78,3.83,4.01,2.37,1.69,1.52,1.55,1.68,1.87,6.97,4.89,7.21,7.19,7,6.56,6.45,6.38,6.22,5.74,5.3,5.31,5.37,5.46,7.15,6.18,6.48,6.46,6.32,6.24,5.94,5.57,5.35,5.31,2.48,2.34,2.14,2.14,2.16,2.17,2.2,2.2,2.24,36992.4140625,96245,9786.8017578125,9856.294921875,9894.689453125,10013.4970703125,9836.5009765625,9534.4248046875,9489.802734375,9371.5068359375,9370.568359375,9676.232421875,9688.248046875,9640.5537109375,9687.1171875,9357.6015625,9201.3115234375,12000.4501953125,12100.1875,12098.728515625,12015.4453125,11939.498046875,12328.4755859375,12178.890625,12491.232421875,11903.185546875,11869.8720703125,11977.3095703125,11925.0693359375,11850.013671875,11671.087890625,9692.2294921875,10674.6669921875,10973.4755859375,10985.67578125,10967.4853515625,11225.80859375,10798.39453125,10939.3681640625,11064.314453125,10833.2216796875,10071.2841796875,9916.0009765625,9516.4443359375,9461.615234375,9211.7958984375,9736.3544921875,9289.140625,9538.2216796875,9151.60546875,441,342,3.31,8.41,35891.78125,96872.171875
"10-SEP-2026",2026-09-10 11:24:11,2026-09-10,11H 24M 11S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-43.16,-81.08,35.05,-117.51,0.6,0.43,0.57,0.78,0.52,1.81,6.22,2.75,3,3.28,3.12,3.28,3.16,2.86,2.96,3.1,528.82,756.93,933.21,741.33,717.92,872.15,6.62,4.53,6.83,6.83,6.54,6.08,5.94,5.82,5.64,5.2,4.82,4.81,4.82,4.84,6.39,5.42,5.61,5.62,5.46,5.42,5.17,4.88,4.73,4.78,2,1.82,1.58,1.56,1.52,1.6,1.61,1.62,1.7,37024.71875,96107.75,9677.8056640625,9758.177734375,9754.380859375,9858.8125,9904.2451171875,9851.474609375,9815.12890625,9506.5263671875,9422.7412109375,0.974468946456909,0.617161452770233,0.519714415073395,0.617161452770233,0.617161452770233,0.519714415073395,11998.5859375,12069.3466796875,12099.5390625,11957.451171875,11881.7470703125,12258.931640625,12110.400390625,12431.3740234375,11889.1220703125,11903.1455078125,11983.5908203125,11909.7509765625,11848.7578125,11655.5244140625,9680.4716796875,10630.134765625,10881.3037109375,10891.341796875,10839.98828125,11072.0791015625,11046.1806640625,11390.076171875,11305.1142578125,10925.115234375,9983.3642578125,9838.5810546875,9535.263671875,9523.0625,9282.2646484375,9773.76953125,9293.35546875,9556.1162109375,9151.1611328125,441,342,3.06,7.51,35856.16015625,96700.015625
"09-SEP-2026",2026-09-09 09:25:00,2026-09-09,9H 25M 0S,"Unknown","FACSymphony Sorter","R66293700034","Administrator",441,342,502,481,510,450,550,547,465,361,387,476,391,352,268,262,275,354,335,437,316,357,425,422,462,477,426,368,338,358,362,621,297,376,481,510,509,507,428,338,360,498,486,506,492,448,295,336,314,390,0,-43.25,-80.87,35.28,-117.47,0.6,0.43,0.6,0.78,0.51,2.24,5.73,2.18,2.27,2.55,2.42,2.76,2.85,2.81,2.89,3.15,2.06,1.62,1.55,1.54,1.66,1.84,9.74,6.67,9.54,9.66,9.58,9.39,9.33,9.28,8.87,7.98,7.28,7.23,7.34,7.59,6.42,5.22,5.52,5.52,5.28,5.15,4.97,4.74,4.55,4.57,1.88,1.65,1.34,1.29,1.22,1.3,1.39,1.42,1.54,154794.7421875,99377.44140625,9841.6416015625,9825.96337890625,9655.08935546875,9737.9345703125,9748.876953125,9703.55078125,9926.3427734375,9983.12255859375,10031.712890625,9916.69580078125,9965.0751953125,10022.3325195312,10097.3510742188,9896.47119140625,9658.45458984375,12502.5380859375,12538.5219726562,12375.7309570312,12327.0561523438,12214.1137695312,12502.7509765625,12305.5766601562,12599.8662109375,12251.8037109375,12651.61328125,12975.9145507812,13033.8041992188,12982.3349609375,12812.142578125,12184.2065429688,11202.9604492188,11410.095703125,11379.3720703125,11170.0458984375,11340.634765625,11202.3779296875,11688.9936523438,11927.1586914062,11793.7817382812,9623.07080078125,9382.841796875,9437.4150390625,9563.2041015625,9433.0634765625,10184.1918945312,9791.10498046875,10059.1279296875,9675.16015625,NA,NA,NA,NA,NA,NA
