"SAMPLE","DateTime","DATE","TIME","Timepoint","CYT","CYTSN","OP","FSC-H_Gain","SSC-A_Gain","SSC-H_Gain","FITC-A_Gain","BB630-A_Gain","BB660-A_Gain","PerCP-Cy5-5-A_Gain","BB790-A_Gain","APC-A_Gain","Alexa Fluor 700-A_Gain","APC-Cy7-A_Gain","BV421-A_Gain","BV510-A_Gain","BV570-A_Gain","BV605-A_Gain","BV650-A_Gain","BV711-A_Gain","BV750-A_Gain","BV786-A_Gain","BUV395-A_Gain","DAPI-A_Gain","DAPI-W_Gain","BUV496-A_Gain","BUV563-A_Gain","BUV661-A_Gain","BUV737-A_Gain","BUV805-A_Gain","PE-A_Gain","PE-Alexa 594-A_Gain","PE-Cy5-A_Gain","PE-Cy5-5-A_Gain","PE-Cy7-A_Gain","Time_Gain","Blue_LaserDelay","Red_LaserDelay","UV_LaserDelay","Violet_LaserDelay","YG_LaserDelay","Blue_AreaScalingFactor","Red_AreaScalingFactor","UV_AreaScalingFactor","Violet_AreaScalingFactor","YG_AreaScalingFactor","FSC-A-% rCV","FSC-H-% rCV","SSC-A-% rCV","SSC-H-% rCV","FITC-A-% rCV","BB630-A-% rCV","BB660-A-% rCV","PerCP-Cy5-5-A-% rCV","BB790-A-% rCV","APC-A-% rCV","Alexa Fluor 700-A-% rCV","APC-Cy7-A-% rCV","BV421-A-% rCV","BV510-A-% rCV","BV570-A-% rCV","BV605-A-% rCV","BV650-A-% rCV","BV711-A-% rCV","BV750-A-% rCV","BV786-A-% rCV","BUV395-A-% rCV","DAPI-A-% rCV","DAPI-W-% rCV","BUV496-A-% rCV","BUV563-A-% rCV","BUV661-A-% rCV","BUV737-A-% rCV","BUV805-A-% rCV","PE-A-% rCV","PE-Alexa 594-A-% rCV","PE-Cy5-A-% rCV","PE-Cy5-5-A-% rCV","PE-Cy7-A-% rCV","FSC-A","FSC-H","SSC-A","SSC-H","FITC-A","BB630-A","BB660-A","PerCP-Cy5-5-A","BB790-A","APC-A","Alexa Fluor 700-A","APC-Cy7-A","BV421-A","BV510-A","BV570-A","BV605-A","BV650-A","BV711-A","BV750-A","BV786-A","BUV395-A","DAPI-A","DAPI-W","BUV496-A","BUV563-A","BUV661-A","BUV737-A","BUV805-A","PE-A","PE-Alexa 594-A","PE-Cy5-A","PE-Cy5-5-A","PE-Cy7-A"
"24-AUG-2026",2026-08-24 08:28:02,2026-08-24,8H 28M 2S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.27,-36.82,71.01,-74.85,0.69,0.73,0.95,0.83,0.6,4.78,1.86,1.27,1.55,1.48,1.87,1.69,1.56,2.33,1.86,1.76,1.77,1.7,1.64,2.13,2.37,2.73,3.2,3.55,3.89,7.4,5.2,1.47,5.25,4.93,4.49,4.81,4.84,2.02,2.01,1.89,2.21,2.61,95781.05859375,83758.09375,140234.0390625,124339.42578125,11252.6650390625,11000.400390625,11893.4736328125,9279.1396484375,9057.41796875,10943.21875,10487.0556640625,11117.5463867188,7952.65625,8804.7880859375,8576.080078125,10309.5849609375,8300.318359375,7535.40869140625,8333.86572265625,8345.7021484375,8172.74731445312,10487.6010742188,55291.515625,11344.5209960938,11001.3911132812,8563.765625,7550.27075195312,6520.78002929688,9399.70556640625,9038.69189453125,7771.36572265625,7348.591796875,7891.16015625
"21-AUG-2026",2026-08-21 08:20:54,2026-08-21,8H 20M 54S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,34.95,-36.99,70.58,-74.76,0.69,0.73,0.95,0.83,0.6,7.98,3.1,1.55,1.67,2.09,2.71,2.98,4.1,5.46,4.14,4.44,4.44,5.34,5.71,5.7,5.81,6.42,7.38,7.55,7.48,9.54,7.5,2.56,5.62,5.78,7.37,9.14,8.08,3.02,3.17,4.55,5.38,5.77,88083.171875,82770.87890625,132344.3671875,123541.41796875,11455.3642578125,14641.3569335938,10400.3408203125,4625.90551757812,4190.88940429688,6183.22021484375,4306.23193359375,4460.07299804688,7436.232421875,8248.6640625,9120.4267578125,11573.77734375,5287.09204101562,3366.95300292969,3375.97680664062,3462.9658203125,7553.9931640625,9903.421875,53225.248046875,10914.099609375,12670.6625976562,5434.849609375,3029.28344726562,2623.47644042969,14080.400390625,13283.3969726562,5456.34936523438,3237.341796875,3360.609375
"20-AUG-2026",2026-08-20 08:06:59,2026-08-20,8H 6M 59S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.25,-37.1,70.69,-75.27,0.67,0.73,0.94,0.82,0.6,4.54,1.98,1.38,1.51,1.72,2.1,2.09,1.97,3.17,1.86,1.83,1.7,2.6,2.68,3.14,3.11,3.69,4.02,4.38,4.78,8.96,7.05,2.64,5.46,5.55,6.31,6.83,6.56,2.38,2.5,2.76,3.13,3.65,85381.2421875,85226.15625,131109.203125,129088.765625,9814.6923828125,9060.03515625,11100.974609375,9466.2177734375,9282.40234375,11653.6181640625,11630.8388671875,12436.22265625,7573.0263671875,8196.1171875,7791.0478515625,9319.7431640625,8792.05859375,8266.861328125,9421.1123046875,9469.5673828125,8477.2041015625,9909.2734375,53317.29296875,10753.755859375,10021.6279296875,8893.0419921875,8186.59716796875,7072.5439453125,7863.37158203125,7559.64990234375,7917.337890625,7897.93701171875,8516.30859375
"19-AUG-2026",2026-08-19 08:45:22,2026-08-19,8H 45M 22S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.07,-37.07,70.55,-75.03,0.68,0.73,0.95,0.83,0.6,6.15,3.41,1.9,1.89,2.39,2.91,2.86,2.93,4.66,2.28,2.12,2.28,6.89,7.34,7.49,7.67,7.81,7.64,7.44,7.67,10.86,9.73,3.45,7.12,7.42,8.93,9.28,8.97,3.77,4.16,5.31,5.55,6.01,87201.32421875,78362.3046875,137564.1796875,125271.96484375,10295.3637695312,9904.60302734375,10971.6049804688,8692.3525390625,8427.58837890625,10614.4833984375,10335.1220703125,10932.705078125,7355.162109375,8116.0859375,7868.333984375,9403.83544921875,7802.7041015625,7135.0673828125,8027.45654296875,7918.5224609375,7809.86474609375,9760.96484375,53216.671875,10859.8061523438,10425.0922851562,8141.3251953125,7217.5029296875,6237.14086914062,8416.677734375,8092.15795898438,7064.25048828125,6737.7392578125,7194.90966796875
"18-AUG-2026",2026-08-18 09:11:45,2026-08-18,9H 11M 45S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,34.97,-37.43,70.5,-75.21,0.68,0.73,0.94,0.82,0.6,11.11,3.15,1.76,1.76,2.04,2.6,2.53,2.63,4.08,1.91,1.82,2.04,4.01,4.22,4.59,4.78,5.05,5.19,5.4,5.7,10.23,8.79,3.28,6.22,6.6,7.91,8.34,7.95,2.95,3.25,3.91,4.36,4.92,87182.05859375,78099.140625,136895.3828125,125217.23046875,10073.5913085938,9435.46826171875,11441.291015625,9540.822265625,9408.2001953125,11526.9384765625,11443.2407226562,12265.94140625,7708.1171875,8206.2197265625,7802.53881835938,9297.83154296875,8659.3408203125,8113.8818359375,9121.28955078125,9185.78173828125,8433.337890625,9866.0703125,54286.52734375,10609.3803710938,9867.7626953125,8592.08056640625,7825.90869140625,6792.2890625,7830.77563476562,7548.65795898438,7747.79248046875,7649.87744140625,8266.236328125
"17-AUG-2026",2026-08-17 08:27:23,2026-08-17,8H 27M 23S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.07,-36.83,71.06,-75.14,0.7,0.73,0.95,0.82,0.6,10.82,3.31,1.99,2.08,2.34,2.87,2.85,2.95,4.36,2.37,2.38,2.2,3.52,3.75,3.97,4.3,4.97,5.25,5.59,5.88,11.3,9.26,3.59,7.1,7.22,8.12,8.82,8.68,2.71,2.86,2.92,3.3,3.71,91048.8046875,79822.32421875,140389.171875,125515.046875,10761.0317382812,10368.759765625,11714.3930664062,9306.1318359375,9057.89501953125,11121.5146484375,10719.6728515625,11406.390625,7659.08251953125,8334.21923828125,8097.4404296875,9710.4560546875,8275.22705078125,7602.43505859375,8435.125,8439.46630859375,8325.935546875,10153.32421875,54646.927734375,10983.248046875,10533.6450195312,8593.51123046875,7595.34155273438,6590.0966796875,9248.078125,8910.74365234375,8121.40771484375,7764.5244140625,8334.30859375
"14-AUG-2026",2026-08-14 08:44:45,2026-08-14,8H 44M 45S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.09,-37,70.66,-75.15,0.68,0.73,0.95,0.83,0.6,1.83,1.2,1.23,1.36,1.46,2.15,1.78,2.31,2.97,2.48,2.71,2.66,1.47,1.54,2.06,2.17,2.79,3.52,4.06,4.48,7.15,4.9,1.4,4.79,4.65,4.62,5.35,5.23,2.1,2.13,2.3,3.05,3.64,88207.0546875,83436.546875,133528.234375,126465.84375,10529.8349609375,11442.802734375,10858.8330078125,6998.4619140625,6659.81396484375,9226.3330078125,7754.97509765625,8240.1533203125,7709.2109375,8355.3125,8480.5361328125,10518.046875,7147.607421875,5739.087890625,6039.05078125,6260.96142578125,6859.71826171875,9589.533203125,52892.9765625,10203.224609375,10493.0341796875,6843.6884765625,5120.861328125,4458.20947265625,10495.0712890625,10074.986328125,6895.9541015625,5491.67724609375,5863.38623046875
"13-AUG-2026",2026-08-13 08:30:02,2026-08-13,8H 30M 2S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.33,-37.06,70.37,-75.14,0.63,0.73,0.9,0.8,0.6,7.34,3.01,1.78,1.75,2.16,2.94,2.68,3.2,4.78,2.51,2.94,3.05,4.85,5.42,5.52,5.54,6.21,6.27,6.71,6.89,8.91,7.41,2.24,5.28,5.61,6.85,7.69,7.18,3.46,3.73,4.64,5.29,5.82,80868.1015625,79559.359375,125528.265625,125274.9375,9867.9775390625,10668.982421875,10299.5478515625,6635.18310546875,6261.61279296875,9492.0634765625,7978.7529296875,8359.4130859375,7335.2275390625,7977.2919921875,8185.53369140625,10079.81640625,6959.0703125,5617.10546875,5940.6796875,6043.02099609375,7447.90380859375,9357.7255859375,53165.06640625,10187.0498046875,10511.1669921875,6914.10498046875,5081.8017578125,4421.5576171875,10054.484375,9624.701171875,6732.40185546875,5318.76416015625,5645.40185546875
"12-AUG-2026",2026-08-12 09:31:06,2026-08-12,9H 31M 6S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.28,-37.14,71.2,-75.23,0.7,0.73,0.95,0.82,0.6,8.24,2.71,1.55,1.62,1.86,2.32,2.29,2.38,3.86,1.84,1.68,1.89,7.7,8.01,8.13,8.2,8.45,8.03,8.12,8.2,8.36,6.83,1.73,5.16,5.34,6.05,6.46,6.13,1.95,2.12,2.64,3.04,3.68,95651.89453125,76726.19140625,146419.515625,121877.60546875,10674.1259765625,10164.1123046875,12072.564453125,10034.1875,9855.60791015625,11637.3325195312,11457.361328125,12198.0141601562,7511.1103515625,8088.58325195312,7727.3662109375,9217.65087890625,8295.40234375,7783.05810546875,8711.06689453125,8600.1748046875,7544.97241210938,10126.9658203125,56013.44140625,10831.1674804688,10181.6279296875,8788.953125,7947.05688476562,6925.17797851562,8280.59619140625,8016.2275390625,7945.40185546875,7851.72265625,8442.8564453125
"11-AUG-2026",2026-08-11 08:29:55,2026-08-11,8H 29M 55S,"Unknown","LSRFortessa","R66096400041","Administrator",515,515,191,191,341,349,361,328,364,246,206,213,164,225,267,297,273,276,220,301,360,223,223,272,319,324,282,353,386,424,338,275,342,0,35.05,-37.34,70.75,-75.23,0.67,0.73,0.95,0.82,0.6,4.34,2.1,1.51,1.64,1.82,2.24,2.22,2.15,3.39,1.87,1.88,1.78,3,3.19,3.45,3.38,3.83,4.08,4.4,4.76,8.06,5.85,2.86,4.75,4.77,5.25,5.87,5.66,2.55,2.78,3.02,3.44,3.95,86976.12890625,82342.16015625,132715.3671875,126693.46484375,9886.40234375,9178.36181640625,11198.251953125,9423.7880859375,9276.4423828125,11811.83984375,11729.6884765625,12553.9360351562,7756.283203125,8275.51611328125,7832.2666015625,9314.041015625,8777.55615234375,8243.90771484375,9225.4951171875,9388.20068359375,8926.4462890625,10324.419921875,54428.646484375,10891.8989257812,10152.3857421875,8964.60888671875,8185.08813476562,7144.0947265625,7949.72241210938,7639.09643554688,7904.29150390625,7838.65478515625,8489.87548828125
